Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,The assert keyword evaluates a boolean expression and raises an AssertionError if it is False.,,Which keyword in Python is used to write a test that throws a loud error if a condition is false?,4,except,try,check,assert,
MC,git commit creates a permanent snapshot of the staged changes in the project timeline.,,Which git command is used to save a snapshot of staged changes into the local repository history?,4,git push,git init,git add,git commit,
MC,git add selects modified files to be included in the next commit snapshot.,,Which git command is used to place changes in the staging area before committing them?,1,git add,git init,git commit,git branch,
MC,"When an expression evaluated by assert is False, Python raises an AssertionError.",,What type of error is raised in Python when an assertion check fails?,4,ValueError,SyntaxError,TypeError,AssertionError,
MC,"The Waterfall model executes SDLC phases in a strict linear sequence, completing each fully before starting the next.",,What is the primary characteristic of the Waterfall model in the SDLC?,4,building in short loops,skipping requirements gathering,coding without any design,finishing stages sequentially,
MC,"A sprint is a short, time-boxed development cycle (typically 1-4 weeks) that results in working software.",,What is a sprint in Agile software development?,2,a fast typing test,a short development loop,a database indexing step,a version control branch,
MC,User stories keep developers focused on users through the template: As a... I want... so that....,,What format is commonly used to write a user story in Agile development?,2,If... then... else... block,As a... I want... so...,import... as... custom name,def... return... some value,
MC,"The Design stage specifies how the system components, APIs, and data models will be organized prior to writing code.",,"Which SDLC stage is focused on deciding the structure, components, and data model of the application?",3,Deploy,Requirements,Design,Build,
MC,A regression occurs when an update or addition accidentally breaks existing functionality.,,Which term describes a software bug where previously working code breaks due to a new change?,1,regression,abstraction,allocation,compilation,
MC,"By keeping rules separate from print/input statements, you can write clean, automated assert tests for the logic.",,Why is separating pure logic from input/output (I/O) recommended for code quality?,2,prevents syntax compile crashes,allows automated testing,makes program execution faster,reduces file storage size,
MC,AI is only a draft tool; the human developer who reviews and accepts the code holds ultimate accountability.,,Who is legally and ethically accountable if an AI assistant generates code with a critical bug that ships to users?,4,the AI model itself,the open-source library author,the compiler software,the developer who approved it,
MC,Code reviews allow team members to examine proposed changes before merging them to catch bugs and verify quality.,,What is the primary role of a code review on a software team?,1,check code before merging,compile code to machine binary,push changes to production,measure developer typing speed,
MC,Jupyter Notebooks save their JSON structure with the .ipynb extension.,,"What file extension is used for Jupyter notebooks, like the ones used in Google Colab?",1,.ipynb,.json,.md,.py,
MC,GitHub is the dominant web-based service for hosting Git repositories and conducting pull requests.,,Which platform is most commonly used to store git repositories online and collaborate on PRs?,3,Pyngrok,Google Drive,GitHub,SQLite,
MC,"A repository stores the files alongside the complete, permanent history of all commits.",,What does a git repository include besides the project's files?,2,the computer operating system,the complete change history,the hardware processor registry,the python compilation binary,
MC,Branches allow developers to work on features without affecting the main shipping version.,,Which term describes an isolated timeline in Git used to develop a feature safely?,1,branch,commit,pull request,repository,
MC,"A pull request is a formal proposal to merge code from one branch into another, triggering review.",,What is a pull request (PR) in version control?,3,a command to delete history,a request to download files,a proposal to merge changes,an automatic error report,
MC,The Deploy stage publishes the built software to environments (like servers) where users can access it.,,Which SDLC stage is concerned with release and hosting of software for real users?,2,Design,Deploy,Maintain,Build,
