Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Which Python collection is ordered and mutable?,3,Dictionaries,Tuples,Lists,Sets,
MC,,,Which Python collection is ordered and immutable?,4,Sets,Lists,Dictionaries,Tuples,
MC,,,Which Python collection is unordered and prevents duplicates?,4,Tuples,Lists,Dictionaries,Sets,
MC,,,Which Python collection maps unique keys to values?,2,Lists,Dictionaries,Sets,Tuples,
MC,,,What is the index of the first element in a Python list?,4,1,-1,2,0,
MC,,,Which index represents the last element in a Python list?,4,1,0,len,-1,
MC,,,What does `d.get(key)` return by default if the key is missing?,3,Error,0,None,False,
MC,,,Which operator is used to find the intersection of two sets?,1,&,-,|,^,
MC,,,What empty collection type does curly braces `{}` create by default?,2,A set,A dictionary,A tuple,A list,
MC,,,What value is returned when a function finishes without a return statement?,1,None,0,True,False,
MC,,,"What are lists, dictionaries, and sets called since they can be changed?",1,Mutable,Static,Immutable,Abstract,
MC,,,What are tuples called since they cannot be changed after creation?,2,Abstract,Immutable,Mutable,Dynamic,
MC,,,"What happens when assigning one list variable directly to another, as in `b = a`?",3,The program crashes immediately,An independent copy is made,Both variables share one list,The first list becomes immutable,
MC,,,"How can a developer create a true, independent copy of a list to avoid aliasing bugs?",4,Place list inside a tuple,Delete original list variable early,Assign list name variables directly,Call the `.copy()` method on it,
MC,,,What is the primary purpose of the accumulator pattern inside a loop?,2,Stop the loop execution immediately,Build up a running total,Hide variables from outside functions,Generate documentation for a class,
MC,,,What does the `items()` method do when iterating over a dictionary?,3,Displays keys while hiding values,Structures dictionary as pure tuples,Yields both key and value,Returns keys in alphabetical order,
MC,,,Why might a dictionary lookup be preferred over a list scan as data size grows?,2,Sorts retrieved values in order,Lookup speed remains completely constant,Reduces overall memory footprint significantly,Speed slows down with items,
MC,,,What does hashing let a dictionary or set do when looking up a key?,1,Jump straight to the key's spot,Compress the stored values smaller,Sort the keys before searching,Walk every entry until matched,
MC,,,"Why must dictionary keys and set members be immutable (like strings, numbers, or tuples)?",4,Python forbids storing numbers in lists,Mutable objects cannot be printed safely,Immutable objects use far less memory,A changing value would lose its shelf,
MC,,,What shape represents typical nested tabular data (like spreadsheet rows or API results) in Python?,4,Dictionary pointing to flat tuples,Set of nested tuples strictly,Flat list containing only strings,List of dictionaries representing rows,
MR,,,Which statements are true about Python list comprehensions?,"1,3,4",Run loop iterations implicitly underneath,Permanently freeze the collection size,Build lists in one line,Support optional conditional filtering logic,
MC,,,What is the core distinction between an Abstract Data Type (ADT) and its implementation?,4,ADT runs automatically; implementation manually,ADT requires dicts; implementation lists,ADT defines storage; implementation behaviors,ADT defines behavior; implementation stores,
MC,,,How does the built-in `sorted()` function behave?,1,"Returns new list, leaves original",Sorts keys but deletes values,Converts collection to immutable set,Modifies original collection in place,
