Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Who founded TSMC?,2,Lynn Conway,Morris Chang,Gordon Moore,Carver Mead,
MC,,,What was TSMC's unique business model?,4,A vacuum-tube maker,An integrated device manufacturer,An OS designer,A pure-play foundry,
MC,,,What did the Mead-Conway revolution achieve?,2,It invented the pure silicon wafer,It standardized VLSI design rules,It built the pure-play foundry,It created the working transistor,
MC,,,What kind of company is Nvidia?,4,Foundry,Toolmaker,IDM,Fabless,
MC,,,Which company builds EUV lithography machines?,3,SMIC,Intel,ASML,TSMC,
MC,,,What is the 'silicon shield' theory?,3,A firewall for fabless designs,A physical coating over transistors,Taiwan's chip dominance deters invasion,China's indigenous chip effort,
MC,,,What did the U.S. export controls in 2022 aim to restrict?,1,High-end AI chips and tools,Domestic software development,All consumer electronics exports,Access to open-source languages,
MC,,,How did Huawei respond to the export controls in 2023?,1,With a domestic 7nm chip,By quitting smartphone making,By purchasing a TSMC stake,By suing Carver Mead,
MR,,,Which elements defined the traditional IDM model?,"2,4",The company only built for others.,The same company owned the fab.,The process used open-source hardware.,One company designed the chip.,
MR,,,Which arguments support the Fragmentation Reply?,"1,2",Controls fragment the supply chain.,Controls fund indigenous rival capability.,Controls destroy all worldwide AI models.,Controls have no economic blowback.,
MC,,,What is the central purpose of machine architecture?,1,Translating algorithms into hardware operations,Building better word processors,Inventing new mathematical theorems,Making internet connections faster,
MC,,,Which base describes the binary number system?,4,Base-16,Base-8,Base-10,Base-2,
MC,,,What does a single bit represent?,2,A complete English alphabet character,"A choice between two states, like on or off",A floating-point decimal number,A full color image pixel,
MC,,,What defines the von Neumann architecture?,2,Running entirely without transistors,Sequential instruction and data space,Hardware disjoint from human inputs,Exclusively parallel GPU clusters,
MC,,,Which component acts as the computer's 'brain' in the von Neumann model?,4,The Memory,The I/O bus,The Power Supply,The CPU,
MC,,,What characterizes volatile memory?,1,Contents vanish without power,Contents stay on hard drives,It executes mathematical arithmetic,It isolates software bugs,
MC,,,How does bit width impact software capabilities?,1,It ceilings memory and precision,It governs the operating system,It sets motherboard visual colors,It controls internet transfer speeds,
MC,,,What happens visually when you double the bit width from 8-bit to 16-bit?,3,The reach scales linearly,The hardware requires double electricity,The reach exponentially squares,The computer requires a larger monitor,
MR,,,Which elements are part of the von Neumann bottleneck?,"1,2",The processor computes faster than memory delivers data.,The bus acts as a literal internal speed limit.,The CPU cannot perform any arithmetic operations.,Modern AI models completely bypass the von Neumann structure.,
MR,,,Which facts apply to Gordon Moore's 1965 observation?,"1,2",It correctly predicted decades of global industry growth.,It described the exponential doubling of chip transistors.,It stated that chips would become more expensive every year.,It was a legally binding international engineering treaty.,
MC,,,What is the decimal value of the binary number <code>1010</code>?,2,16,10,8,12,
MC,,,What is the binary representation of the decimal number <code>13</code>?,3,<code>1110</code>,<code>1001</code>,<code>1101</code>,<code>1011</code>,
MC,,,What is the hexadecimal equivalent of the binary number <code>1111 1111</code>?,2,<code>00</code>,<code>FF</code>,<code>EE</code>,<code>11</code>,
MC,,,What is the decimal value of the hexadecimal number <code>1A</code>?,3,16,24,26,32,
MC,,,How many unique values can be represented by 4 bits?,3,32,8,16,4,
MC,,,"In two's complement, what does the leftmost bit usually signify?",4,The start of the data string,The magnitude of the exponent,A parity check for errors,The mathematical sign of the number,
MC,,,What is the 8-bit two's complement representation of <code>-1</code>?,4,<code>0000 0001</code>,<code>0111 1111</code>,<code>1000 0001</code>,<code>1111 1111</code>,
MC,,,What is the decimal equivalent of the 8-bit two's complement binary number <code>1000 0000</code>?,2,0,-128,128,-1,
MC,,,"If you binary-shift <code>0010</code> left by one position, what is the new decimal value?",4,2,8,1,4,
MC,,,What is the hexadecimal representation of decimal <code>255</code>?,3,<code>2F</code>,<code>F0</code>,<code>FF</code>,<code>AA</code>,
MC,,,Convert the hexadecimal number <code>10</code> to decimal.,4,8,10,2,16,
MC,,,What is the binary representation of the hexadecimal digit <code>C</code>?,4,<code>1110</code>,<code>1010</code>,<code>1011</code>,<code>1100</code>,
MC,,,What is the largest positive integer you can represent in 8-bit two's complement?,2,256,127,255,128,
MC,,,How do you find the two's complement of a binary number?,1,Invert all bits and add 1,Change the leftmost bit to 0,Reverse the order of the bits,Subtract 1 and invert all bits,
MC,,,Convert the unsigned binary <code>1101</code> to hexadecimal.,4,<code>E</code>,<code>C</code>,<code>B</code>,<code>D</code>,
MC,,,Convert the decimal <code>7</code> to a 4-bit binary string.,1,<code>0111</code>,<code>1000</code>,<code>0110</code>,<code>0101</code>,
MC,,,What happens if you add 1 to the largest positive number in two's complement?,4,The system correctly represents the new positive number,The result stays exactly the same,The CPU upgrades to a larger bit width,It overflows to an incorrect negative number,
MC,,,What is the decimal value of the unsigned binary number <code>1111</code>?,2,8,15,14,16,
MR,,,Which of the following are equal to decimal 12?,"2,3",Binary <code>1010</code>,Binary <code>1100</code>,Hexadecimal <code>C</code>,Hexadecimal <code>A</code>,
MR,,,Which statements about two's complement are correct?,"2,3",It reserves two distinct patterns for positive and negative zero.,It has exactly one representation for the number zero.,It allows subtraction to be computed via addition.,It only works to represent positive floating point values.,
