Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What field studies ethical questions raised by medicine and the life sciences?,1,The field of bioethics,Health-policy analysis,The field of social medicine,Cognitive-science research,
MC,,,Which branch asks what people morally ought to do?,2,The clinical decision method,The normative branch of ethics,The descriptive branch of ethics,The metaethical branch of ethics,
MC,,,Which branch studies what people actually believe about morality?,2,The normative branch of ethics,The descriptive branch of ethics,The metaethical branch of ethics,Existing case law,
MC,,,Which branch studies the meaning and justification of moral claims?,1,The metaethical branch of ethics,Empirical ethics research,Public-policy analysis,Applied legal reasoning,
MC,,,Which principle focuses on respecting patient choice?,1,The principle of autonomy,Pure aggregate utility,The principle of justice,The duty of beneficence,
MC,,,Which principle focuses on acting for the patient's good?,4,Moral neutrality alone,The principle of justice,The principle of autonomy,The duty of beneficence,
MC,,,Which principle is captured by primum non nocere?,3,The duty of beneficence,The principle of autonomy,Non-maleficence,The principle of justice,
MC,,,Which principle concerns fair distribution of benefits and burdens?,1,The principle of justice,The duty of beneficence,The principle of autonomy,Non-maleficence,
MC,,,A prima facie duty remains binding until it is what?,3,Measured by numbers,Published in print,Outweighed by another duty,Written in the chart,
MC,,,What term means narrowing a broad principle into a usable rule?,3,The metaethical branch of ethics,Lingering moral residue,Principle specification in practice,Balancing rival duties,
MC,,,What term names the moral cost left after a tragic choice?,4,A moral conflict,The descriptive branch of ethics,Shared common morality,Lingering moral residue,
MC,,,Which theory says right acts maximize overall well-being?,1,The utilitarian theory,The ethics-of-care view,The virtue-ethics approach,The deontological theory,
MC,,,Which family says some acts are right or wrong apart from outcomes?,2,A contractarian theory,The deontological theory,A preference-based theory,The utilitarian theory,
MC,,,What does Kant call the unconditional moral command that applies regardless of desire?,2,The golden mean,The categorical imperative,The hypothetical imperative,The principle of utility,
MC,,,Virtue ethics centers moral evaluation on what?,4,Formal legal rules,Net pleasure,Hypothetical social contracts,Stable character traits,
MC,,,What Greek term names human flourishing in Aristotle?,2,Telos,Eudaimonia,Arete,Logos,
MC,,,Care ethics begins from what kind of moral world?,4,Blind universal rules,Market-style exchange,Individual natural rights,Caring relations,
MC,,,"According to Singer's version of utilitarianism, what should moral action maximize?",4,The preservation of custom,The cultivation of virtue,Obedience to duty,The satisfaction of preferences,
MC,,,What term does Singer use for giving lower weight to interests because of species membership?,4,Anthropocentrism,Paternalism,Essentialism,Speciesism,
MC,,,Equal consideration of interests says like interests count how?,2,Privately,Equally,Locally,Sequentially,
MC,,,In 1973 what event badly injured Dax Cowart?,2,Car rollover,Propane explosion,Jet crash,Factory spill,
MC,,,About how much of Cowart's body was burned?,3,40 percent,25 percent,65 percent,90 percent,
MC,,,What routine treatment removed dead tissue from Cowart's burns?,1,Debridement,Sedation only,Eye lavage,Blood typing,
MC,,,Which psychiatrist concluded Cowart was competent?,4,Peter Singer,James Jones,Henry Beecher,Robert B White,
MC,,,What documentary recorded Cowart asking to die?,4,Dax's Choice,Autonomy First,The Burn Unit,Please Let Me Die,
MC,,,At the rehab hospital in Houston what happened when Cowart again refused treatment?,2,His refusal was ignored and treatment there continued.,His refusal was honored and treatment there stopped.,His refusal was treated as temporary confusion by staff.,His refusal was sent to court before anyone acted.,
MC,,,According to Cowart what right was at the center of the case?,3,Public funding,Religious liberty,Body control,Property rights,
MC,,,Which claim from The Autonomy Argument drew the main criticism from Cowart's physicians?,1,Cowart was competent when he refused treatment.,Competent adults may refuse any medical treatment.,Treating him over objection violated his moral rights.,His mother could override any refusal he made.,
MC,,,In the Cowart case how is decision-making capacity described?,3,It is morally neutral and unrelated to understanding or reasoning.,It belongs to the family whenever treatment is life-saving.,It is specific to a particular decision at a particular time.,It is a global status that settles every medical choice.,
MC,,,If a patient still has capacity what may a surrogate not do?,2,Offer support,Override refusal,Record wishes,Ask questions,
MR,,,Which duties make up the four-principles framework?,"1,2,3,5",The duty of beneficence,The principle of justice,Non-maleficence,Respect for persons,The principle of autonomy
MR,,,Which branches of ethical inquiry study moral beliefs moral duties and moral meaning?,"2,3,4",Political philosophy,The normative branch of ethics,The metaethical branch of ethics,The descriptive branch of ethics,
MR,,,Which moral theories were presented as major lenses for evaluating action?,"1,2,3,5",The deontological theory,The virtue-ethics approach,The ethics-of-care view,The relativist view,The utilitarian theory
MR,,,Which abilities are part of decision-making capacity?,"1,2,3,5",Understand relevant information,Clearly communicate a choice,Reason clearly,Obey family,Appreciate case
MR,,,Which of the following statements about Dax Cowart are true?,"1,3,4,5",He was left blind after the explosion and treatment.,He died in the ambulance with his father.,He lost several fingers because of his burns.,He later earned a law degree and practiced law.,He repeatedly asked that treatment be stopped.
MR,,,Which claims did Cowart hold after recovery?,"1,3",Glad to live,Refusal respected,Rights violated,Wrong fully erased,
MR,,,Which labels or principles are associated with Peter Singer's utilitarian approach?,"1,2,4",Equal consideration of interests,Speciesism,The categorical imperative,Preference utilitarianism,
MR,,,Which duties most clearly clash in the Dax case?,"2,3",Clinical confidentiality duties,The principle of autonomy,The duty of beneficence,The principle of justice,
MR,,,Which descriptions fit a moral dilemma?,"3,4",One duty settles it,All values align,Every option wrong,No clean answer,
MR,,,Which details support the claim that Cowart's refusal was serious and informed?,"1,3,4,5",A psychiatrist found that he was competent to decide.,His mother immediately agreed that treatment should stop.,He understood that stopping treatment would likely lead to death.,He spoke lucidly about what he wanted and why.,He repeated his refusal over time and in different settings.
