Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,Databases provide permanent storage (persistence) so that data survives when the program terminates or the computer restarts.,,What is the primary benefit of storing program data in a database rather than in transient program variables?,4,reduced source code length,simpler local computer compilation,faster cpu calculations,permanence across program restarts,
MC,"Spreadsheets lack automatic enforcement of rules (integrity constraints), allowing duplicate records, invalid entries, or spelling errors.",,Which issue did Hazel Nougat identify as a major flaw of storing records in a spreadsheet?,2,difficult local file sharing,lack of enforced rules,high commercial software costs,slow manual search speeds,
MC,"A table holds every record of one kind of thing (e.g., all candies in the candies table).",,What is the term for a named grid that holds every record of one kind of thing in a relational database?,3,row,column,table,query,
MC,"A row represents a single record of a thing, such as one candy in the candies table.",,What does an individual row represent in a relational database table?,3,a single property,a unique table name,a single record,a database constraint,
MC,A column represents one specific fact or attribute recorded about every row.,,What does an individual column represent in a relational database table?,3,a table index list,one individual record,one recorded property,a database primary key,
MC,A primary key must be unique for each row and remain unchanging over time.,,What is the primary characteristic of a primary key in a relational database table?,4,calculated from other rows,containing multiple text paragraphs,shared by multiple records,unique and unchanging,
MC,A foreign key links tables by storing the primary key of a row in another table.,,What is the role of a foreign key in a relational database?,1,links to another table,deletes empty database tables,defines table columns,uniquely identifies local rows,
MC,Statements in SQL end with a semicolon (;).,,Which character is used in SQL to mark the end of a query statement?,4,period,comma,colon,semicolon,
MC,"Data Definition Language (DDL) commands shape tables (e.g., CREATE TABLE).",,Which SQL command category shapes the structure of tables themselves rather than editing row records?,2,DML,DDL,DBMS,JSON,
MC,"Data Manipulation Language (DML) is used to modify or read rows (e.g. INSERT, SELECT).",,Which SQL command category is used to query or modify individual row data?,2,DBMS,DML,DDL,JSON,
MC,DROP TABLE is the DDL command used to delete a table entirely.,,Which SQL command is used to delete an existing table structure entirely from the database?,1,<code>DROP TABLE</code>,<code>REMOVE TABLE</code>,<code>CLEAR TABLE</code>,<code>DELETE TABLE</code>,
MC,CREATE TABLE is a DDL command that defines the name and columns of a new table.,,What does the SQL command <code>CREATE TABLE candies (candy_id INTEGER PRIMARY KEY);</code> accomplish?,2,queries existing candy records,defines a new table,inserts a new row,creates a database file,
MC,The asterisk symbol in SQL represents all columns in the specified table.,,What does the wildcard symbol <code>*</code> represent in the SQL query <code>SELECT * FROM candies;</code>?,3,each matching row,each primary key column,each database column,each active database table,
MC,The WHERE clause filters rows by evaluating a boolean expression on each row.,,Which SQL clause is used to filter query results by evaluating conditions on rows?,3,<code>ORDER BY</code>,<code>GROUP BY</code>,<code>WHERE</code>,<code>LIMIT</code>,
MC,"Unlike Python, SQL tests equality using a single equals sign (=).",,Which operator is used to test equality between a column and a value in SQL?,3,<code>==</code>,<code>===</code>,<code>=</code>,<code>is</code>,
MC,DESC (descending) sorts results from largest/highest to smallest/lowest.,,Which SQL keyword is appended after a column name in an <code>ORDER BY</code> clause to sort results from highest to lowest?,1,<code>DESC</code>,<code>ASC</code>,<code>HIGH</code>,<code>DOWN</code>,
MC,The LIMIT clause restricts the maximum number of rows returned by the query.,,What is the purpose of the <code>LIMIT</code> clause in a SQL query?,2,restricts columns in SELECT,restricts returned row count,validates table column data,speeds up database updates,
MC,"An integrity constraint violation occurs, causing the database to reject the insert operation.",,What happens if a program tries to insert a row with a foreign key that does not exist in the referenced table?,2,database updates referenced table,database rejects the insert,database inserts null values,database creates missing record,
MC,"JavaScript Object Notation (JSON) is the standard format for representing structured, nested, and free-form document data.",,Which text-based format for nested data is commonly used to store documents in NoSQL databases?,4,SQL,CSV,HTML,JSON,
MC,"Document databases allow each record to have a different shape or schema, unlike relational tables where all rows share the same columns.",,What is a defining trait of a document database compared to a relational database?,2,automatic database foreign keys,flexible schema per record,faster cross table joins,standardized relational table structures,
MC,"SQLite uses the json_extract(column, '$.field') function to parse JSON values.",,Which SQLite function is used to query nested data stored inside a JSON text column?,4,<code>json_find()</code>,<code>json_get()</code>,<code>json_read()</code>,<code>json_extract()</code>,
MC,sqlite3.connect(database_name) establishes a connection to a database file.,,Which Python function in the <code>sqlite3</code> library is used to connect to a database file?,2,<code>sqlite3.execute()</code>,<code>sqlite3.connect()</code>,<code>sqlite3.open()</code>,<code>sqlite3.load()</code>,
MC,"Codd argued that early databases (like IBM's IMS) stored data as a tangle of records hardwired directly to other records, breaking programs when storage structures changed.",,What was Edgar Codd's main criticism of the leading databases in 1970?,4,difficult file import steps,slow text loading speeds,high cost of mainframes,tangled records wired directly,
MC,Codd proposed moving rulekeeping out of application programs and into the database management system (DBMS) itself.,,"Under Edgar Codd's relational model, where are the data rules and constraints stored?",3,inside individual user files,inside each program file,inside the database system,inside the compiler settings,
MC,"Ellison read IBM's research papers and raced to implement a commercial relational database, naming his company Oracle.",,Which commercial database did Larry Ellison build based on IBM's published research on Codd's model?,1,Oracle,MongoDB,Postgres,SQL Server,
MC,"At Google's scale, performing joins across tables scattered across thousands of cheap servers created crushingly expensive network traffic.",,Why did Google engineers abandon the relational database model when building Bigtable?,2,table structures consumed memory,distributed joins were expensive,mainframe hardware was unavailable,SQL syntax was difficult,
MC,"Bigtable is designed as one gigantic sorted list of key-value pairs distributed across machines, with no SQL or joins.",,What is the core structure of Google's Bigtable data model?,1,sorted key value map,linked list index tree,relational multi table schemas,nested circular graph structures,
MC,"Dynamo adopted eventual consistency, prioritizing availability (never refusing a customer) over immediate consistency.",,Which trade-off did Amazon Dynamo make to ensure the shopping cart was always available?,1,allows temporary inconsistent data,enforces strict foreign keys,limits customer order sizes,rejects concurrent user updates,
MC,Stonebraker warned that NoSQL systems unlearned the painful lessons of the 1970s by moving rules out of the database and into application code.,,What did Michael Stonebraker argue regarding the NoSQL movement?,4,SQL should be updated weekly,document models were typically faster,servers should use single cores,abandoning database rules was forgetting,
MC,Google authors noted it was better to pay performance costs rather than forcing programmers to constantly write code to handle the lack of transactions.,,Why did Google develop Spanner in 2012 to replace their non-relational database models?,2,sorting row keys grew slow,programmers struggled without transactions,cheap servers became too expensive,NoSQL storage sizes became excessive,
MR,"CREATE TABLE and DROP TABLE modify the schema/structure of the database and are DDL, while INSERT and SELECT are DML.",,Which SQL statements are classified under DDL (Data Definition Language)?,"2,3",<code>INSERT INTO</code>,<code>DROP TABLE</code>,<code>CREATE TABLE</code>,<code>SELECT</code>,
MR,"INSERT INTO and SELECT manipulate or read row data (DML), whereas CREATE TABLE and DROP TABLE define structures (DDL).",,Which SQL statements are classified under DML (Data Manipulation Language)?,"1,3",<code>INSERT INTO</code>,<code>DROP TABLE</code>,<code>SELECT</code>,<code>CREATE TABLE</code>,
MR,"SQLite data types include INTEGER, TEXT, REAL, BLOB, and NULL. DICTIONARY and LIST are Python types, not SQLite types.",,Which of the following are valid data types in SQLite?,"2,4",<code>DICTIONARY</code>,<code>INTEGER</code>,<code>LIST</code>,<code>TEXT</code>,
MR,"SUM(), AVG(), COUNT(), MIN(), and MAX() are standard SQL aggregate functions. ADD() and DIV() are not.",,Which SQL aggregate functions are used to summarize multiple rows into a single value?,"1,4",<code>SUM()</code>,<code>DIV()</code>,<code>ADD()</code>,<code>AVG()</code>,
MR,"Relational databases feature enforced rules (like foreign keys) and excellent join operations, but have rigid schemas.",,Which properties are typical of relational databases compared to document databases?,"1,4",excellent cross table joins,effortless ad hoc schema changes,completely unstructured record shapes,enforced multi table rules,
MR,"The connection and cursor objects in sqlite3 support execute() and fetchall(), but run_query() and select() are not standard methods.",,Which methods or functions belong to Python's built-in <code>sqlite3</code> connection or cursor object?,"2,3",<code>select()</code>,<code>fetchall()</code>,<code>execute()</code>,<code>run_query()</code>,
MR,"Spreadsheets lack concurrency control, allowing users to overwrite each other's edits, and lack constraints, allowing spelling errors or invalid records.",,Which specific problems arise when multiple users edit a single spreadsheet simultaneously?,"1,2",concurrent write data overwriting,accidental spelling entry errors,slow local memory processing,excessive file download times,
MR,"To use foreign keys in SQLite, one must declare the REFERENCES link in CREATE TABLE and activate checks with PRAGMA foreign_keys = ON;.",,Which SQL commands prepare or enable foreign key constraint checking in a SQLite session?,"2,3",<code>ENABLE FOREIGN KEYS;</code>,<code>PRAGMA foreign_keys = ON;</code>,<code>FOREIGN KEY (col) REFERENCES t(col)</code>,<code>CHECK FOREIGN KEYS;</code>,
MR,"The CAP theorem states that a distributed system experiencing a network partition can guarantee Consistency or Availability, but not both.",,Which core properties must a distributed database system choose between according to the CAP theorem?,"2,3",Velocity,Consistency,Availability,Security,
MR,The relational model guarantees transactional consistency (all-or-nothing changes) and integrity constraint enforcement.,,"Under Edgar Codd's relational model, what guarantees are enforced directly by the database system?","1,4",atomic transaction updates,unlimited network partition availability,eventual data convergence across servers,strict integrity rules across tables,
