Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,Confidentiality ensures that only authorized users can read protected data.,,Which security property is violated when an unauthorized user obtains read access to patient medical records?,3,accountability,integrity,confidentiality,availability,
MC,Integrity ensures that data cannot be modified or altered by unauthorized users.,,Which security property is violated when an attacker unauthorizedly modifies the dosage amount in an active prescription record?,4,availability,authenticity,confidentiality,integrity,
MC,Availability ensures that the system and its resources remain reachable and usable.,,"Which security property is violated when a flood of network traffic takes a patient portal offline, preventing doctors from retrieving medical records?",3,non-repudiation,integrity,availability,confidentiality,
MC,Threat modeling identifies what could go wrong and what security properties are at risk early.,,What is the primary purpose of constructing a threat model before building a web application?,3,increasing database query speed,styling user interface layouts,finding potential vulnerabilities early,compiling source code files,
MC,SQL injection occurs when user-supplied input data is mixed directly into query strings and executed as commands by the database.,,What is the underlying root cause of a SQL injection vulnerability?,3,allowing too many connections,omitting key table constraints,running user data as code,failing to encrypt databases,
MC,Using f-strings or string concatenation to insert values into query text allows SQL injection.,,"Which Python string formatting practice indicates an unsafe, SQL-injectable database lookup?",4,list element index selection,parameterized query tuple mapping,dictionary value key placeholders,f-string query string construction,
MC,"A parameterized query uses placeholders to separate user input from the structure of SQL commands, forcing the input to be parsed strictly as data.",,How does a parameterized query prevent SQL injection attacks?,2,encrypting data during execution,separating commands from inputs,filtering text box inputs,restricting administrator database access,
MC,The question mark (?) is the standard placeholder in SQLite database libraries.,,"In a parameterized SQLite query in Python, what character is typically used as a placeholder for user data?",1,<code>?</code>,<code>%</code>,<code>*</code>,<code>$</code>,
MC,Cross-Site Scripting (XSS) happens when raw user input is printed back into html and run by browser interpreters.,,What type of security vulnerability occurs when unescaped user input is executed as script code inside another user's web browser?,3,cross-site request forgery,directory traversal,cross-site scripting,SQL injection,
MC,"HTML escaping translates sensitive characters like < to display-safe entities like &lt;, preventing browsers from interpreting them as html tags.",,What does the process of HTML escaping do to user input containing the character <code><</code>?,1,converts it to display-safe text,hashes the input string,blocks the network request,deletes characters from input,
MC,"Jinja automatically escapes variables printed inside templates by default, rendering them as safe text.",,How does the Jinja template engine in Flask help defend against cross-site scripting (XSS)?,1,automatically escaping template variables,blocking unauthorized server connections,hashing form password inputs,encrypting database transaction inputs,
MC,"Input validation is checking that incoming data matches expected types, ranges, or lengths, rejecting bad inputs early.",,What is the primary purpose of input validation in secure coding?,3,encrypting packets in transit,indexing database table columns,rejecting incorrectly formatted inputs,responsive mobile layout formatting,
MC,"If a database is leaked, plaintext passwords immediately expose credentials that users often reuse across multiple sites.",,Why should web applications never store user passwords in plain text?,2,databases cannot query text,leaks expose reusable passwords,browsers reject plaintext credentials,plaintext consumes extra memory,
MC,"Cryptographic hashes are one-way functions, meaning they calculate a signature that cannot be mathematically reversed to recover the input.",,What is a defining characteristic of a cryptographic hash function used for storing passwords?,2,variable output length results,irreversible one-way hash output,requires private keys,easily decrypted back later,
MC,"Hashing is a one-way transformation meant to be irreversible, whereas encryption is two-way and designed to be decrypted with a key.",,What is the main operational difference between hashing and encryption?,3,hashing produces variable lengths,hashing requires secret keys,hashing is irreversible,encryption runs much faster,
MC,"Salts add unique randomness to each password, ensuring identical passwords yield different hashes, defeating precomputed rainbow tables.",,What is the primary security goal of salting passwords before hashing them?,3,hiding the hashing algorithm,slowing user login processing,defeating precomputed lookup attacks,compressing long password inputs,
MC,Salts must be randomly generated unique sequences assigned to each individual user account.,,How should password salts be generated and assigned to users?,4,hardcoded inside source files,derived from registration dates,identical for all accounts,random and unique per user,
MC,Slow cryptographic hashing functions like bcrypt make brute-force guessing computationally expensive.,,What password defense is specifically designed to slow down attackers guessing passwords millions of times per second?,1,intentionally slow hashing functions,randomly generated user salts,encrypted secure HTTPS routing,changing database administrator names,
MC,"HTTPS encrypts the HTTP packets in transit, rendering them unreadable to eavesdroppers on the network path.",,What does the secure S in HTTPS guarantee about data traveling between a browser and a server?,3,data is verified,data is stored,data is encrypted,data is pre-validated,
MC,HTTPS uses digital identity certificates issued by trusted authorities to verify server ownership.,,How does HTTPS establish that the browser is connecting to the genuine server and not an impostor?,2,locking application port numbers,using digital identity certificates,running parameterized network queries,salting the connection keys,
MC,Secrets must be stored outside code in system environment variables to avoid accidental leaks via source files.,,"Where should application secrets, such as external API keys, be stored in production?",2,global code module variables,system environment variables,public git code repositories,plain text configuration files,
MC,"A .gitignore file lists specific file paths or extensions that git must refuse to track, keeping local secrets out of repositories.",,What is the function of the <code>.gitignore</code> file in a software development project?,3,blocking database injection attacks,hashing credentials on commit,ignoring files from versioning,deleting unused backup folders,
MR,"The CIA triad stands for Confidentiality, Integrity, and Availability.",,Which of the following are components of the CIA triad in cybersecurity?,"1,2,3",integrity,confidentiality,availability,authorization,
MR,Parameterized queries keep the SQL structure and data inputs strictly separate.,,Which of the following statements accurately describe how a parameterized query protects a SQL database?,"1,3,4",prevents input execution commands,encrypts stored table values,treats inputs as data,separates queries from values,
MR,XSS is defended against by input validation and output escaping.,,Which techniques help defend a web application against Cross-Site Scripting (XSS) attacks?,"2,3,4",hashing inputs with salts,validating inputs before storage,using template automatic escaping,escaping outputs before display,
MR,Validating phone numbers requires checking both digit-only format and exact length.,,Which criteria should be checked when validating a standard 10-digit phone number input?,"1,3,4",verifying length is ten,comparing against password hashes,confirming characters are digits,rejecting alphabetical letters,
MR,"Symmetric encryption is designed to be decrypted (two-way), while hashing is designed to be irreversible (one-way).",,Which options correctly describe the differences between symmetric encryption and cryptographic hashing?,"1,3,4",hashing is one-way,hashing requires private keys,encryption secures data recovery,encryption is reversible,
MR,"Salts ensure that identical passwords result in unique hashes, defeating lookup/rainbow table attacks.",,What security improvements does adding a salt to passwords provide?,"2,3,4",speeds up login validation,defeats precomputed lookup tables,uniquely hashes identical passwords,creates unique user hashes,
MR,HTTPS encrypts connection traffic to prevent eavesdropping and validates server identities.,,Which of the following are prevented when a website uses HTTPS instead of plain HTTP?,"1,2,4",snooping passwords on Wi-Fi,reading active session cookies,injecting database command inputs,accessing spoofed fake servers,
MR,Secrets management involves storing keys in local variables and git-ignoring them.,,Which steps are part of proper secrets management in a Git-tracked software project?,"1,2,3",using environment variables,adding secrets to .gitignore,excluding config from commits,writing keys in code,
MC,"The breach was caused by an unpatched vulnerability in Apache Struts, a framework used to build web applications.",,Which widely used web application software framework contained the vulnerability exploited in the 2017 Equifax data breach?,2,Jinja Template Library,Apache Struts,Flask Web Framework,SQLite Database Engine,
MC,"The vulnerability allowed Remote Code Execution (RCE), letting attackers run system commands on the server.",,What was the primary exploit capability of the vulnerability CVE-2017-5638 exploited during the Equifax breach?,3,denial of service,local privilege escalation,remote code execution,directory path traversal,
MC,The patch notification went to a distribution list that did not reach the system administrators of the ACIS portal.,,Why did the security alert sent by Equifax's internal security team fail to result in patching the vulnerable ACIS server?,1,alert emails missed responsible teams,vulnerability databases lacked patch keys,patch files corrupted during download,operating systems blocked updates entirely,
MC,Attackers located plaintext credentials (usernames and passwords) left unsecured on the compromised web server.,,How did attackers manage to access 51 different databases once inside the first Equifax web server?,1,finding plaintext database passwords,hashing connection verification records,generating new administrator keys,guessing default admin credentials,
MC,"The egress traffic inspector was blinded because its security certificate, needed to inspect encrypted traffic, was expired.",,Why did Equifax's network monitoring device fail to detect 147 million records being exfiltrated over eleven weeks?,1,traffic inspection certificates had expired,attackers blocked egress communication lines,monitoring algorithms generated too many alarms,inspectors skipped small file packets,
