Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What happens if an `if` statement's condition evaluates to `False`?,1,Skips the block entirely,Crashes the program,Runs block one time,Repeats the block,
MC,,,"In an `if`/`elif`/`else` sequence, how many branches can execute?",2,Two,One,None,All,
MC,This is known as short-circuiting.,,"When evaluating conditions joined by `and`, what happens if the first condition is `False`?",4,Flips result to True,Evaluates next condition,Throws indentation error,Skips evaluating the rest,
MC,,,How does an `or` condition behave when evaluated?,4,Inverses boolean value,Checks second operand only,True if both are True,True if one is True,
MC,,,What is the primary danger of writing a `while` loop?,1,Creating infinite loops,Returning prematurely,Using too many variables,Triggering syntax errors,
MC,,,What keyword conditionally executes exactly one of many code blocks?,4,def,loop,return,elif,
MC,,,Which logic limit states no program can predict if every program will eventually stop?,4,Structured program theorem,Infinite loop paradox,Boolean circuit limit,Halting problem,
MC,,,"What does a `for` loop combined with `range(1, 4)` do?",1,Executes exactly three times,Repeats indefinitely,Executes exactly four times,Starts counting at zero,
MC,,,"When looping directly over a list, what does the loop variable typically represent?",4,Fixed math value,Total item count,Alphabetical order,Each item in turn,
MC,,,What is the purpose of the accumulator pattern inside a loop?,1,Add a running total,Stop immediately,Call a function,Hide data locally,
MC,,,What happens when a loop encounters the `break` keyword?,1,Leaves loop entirely,Restarts from beginning,Skips current pass,Triggers an error,
MC,,,"If a loop running 3 times is inside one running 4 times, how many runs occur inner body?",1,Twelve,Three,Seven,Four,
MC,,,Why was the `goto` command retired from modern programming languages?,4,Required more memory,Failed math loops,Interfered with addition,Created tangled code,
MC,,,What principle advises solving problems by breaking them into smaller sub-problems?,2,Boolean logic,Top-down design,Iteration,Short-circuiting,
MC,,,What does the `return` keyword do inside a function?,2,Ends program,Hands one value back,Prints a sentence,Allows multiple outputs,
MC,,,What happens if a Python function finishes without returning?,3,Crashes with error,Returns zero,Automatically returns None,Locks infinite loop,
MC,,,How does defining a variable inside a function affect its scope?,1,Becomes local and hidden,Becomes a parameter,Overrides globals,Modifiable everywhere,
MC,DRY stands for Don't Repeat Yourself.,,What programming practice does the DRY principle promote?,1,Write once and reuse,Create identical code,Use global variables,Pass inputs via print,
MC,,,What does the `help()` function output when called on a user-defined function?,4,Function source code,Current variables,Debugging report,The function's docstring,
MC,,,"When defining parameters, what rule applies to default values?",2,Must all have defaults,Must follow non defaults,Ignored unless named,Cannot be numeric,
MC,,,What advantage does calling a function with keyword arguments offer?,4,Bypasses restrictions,Executes faster,Generates docstring,Order stops mattering,
MC,,,Why do software developers test their code rigorously with edge cases?,1,Find bugs hidden normally,Practice commands,Bypass formatting,Increase code speed,
MC,,,Which control flow operation handles branching automatically?,3,Accumulation,Sequence,Selection,Iteration,
MR,,,Which of the following operations are required parts of a safe `while` loop?,"1,3,4",Test,Reverse,Progress,Initialise,
MR,,,Which control flow structures are part of the structured program theorem?,"1,3,4",Iteration,Accumulation,Sequence,Selection,
MR,,,Which operators are used to combine or flip boolean conditions natively in Python?,"1,3,4",or,else,and,not,
MR,,,What are common edge cases to test for when writing a loop or function?,"1,2,4",Boundary value,Negative number,Missing syntax,Empty list,
MR,,,Which of the following statements about functions are true?,"1,2,3",Hides implementation details,Takes keyword arguments,Defines local scope,Always returns string,
MR,,,"A developer wants to skip the current loop pass, but NOT leave entirely. Which statements apply?","1,2,4",Use continue keyword,Jumps to next iteration,Use break keyword,Pass remainder is skipped,
MR,,,How does the `if` / `elif` / `else` block sequence execute?,"2,3",The else branch requires an explicit condition,The first branch evaluating to True wins,Conditions are checked from top to bottom,Multiple branches can run in one pass,
MC,,,What was the critical physical flaw in the Therac-25's X-ray mode execution?,2,Generated too little dose,High energy beam fired without target,Console destroyed output log,Launched electron mode at random,
MC,,,"In the Therac-25 case, what clearly defines a software 'race condition'?",1,Outcome depends on operation timing,Typing slower than required,Simultaneous user login attempts,Loop runs faster than CPU,
MC,,,Why was the 256th keypress significantly dangerous in the Yakima accident?,2,Operator pressed proceed too often,Counter overflowed skipping safety check,Hardware rotated too many times,Memory buffer was completely full,
MC,,,"According to the Systems Reply, why did older machines not kill patients despite sharing code?",3,Impossible to fire beam,Slower processors prevented races,Kept independent hardware safety interlocks,Operators possessed superior training,
MC,,,What exact message did operators see on the console during the Tyler hospital accidents?,4,Console powered strictly down,FATAL OVERDOSE with system halt,TARGET NOT IN SECURE PLACE,MALFUNCTION 54 with treatment pause,
MC,,,What critical fallacy describes assuming software is safe because it ran previously without issue?,1,The reuse fallacy,The hardware interlock,Top down assumption,The halting problem,
MC,,,What does the Accountability Objection specifically argue against the Systems Reply?,2,Hardware interlocks caused the failure purely,Diffuse causes retain specific decision responsibility,System failed naturally without intervention,Original programmer holds total blame securely,
MR,,,Which independent decisions contributed to the entire Therac-25 system failure?,"1,2,3",Issuing cryptic error messages,Removing independent hardware interlocks,Lacking external safety review,Replacing the metal target,
MR,,,What characteristics do Therac-25 bugs share with other disasters like the 737 MAX?,"2,3,4",Missing simple syntax errors,Trusting optimistic risk numbers,Removing redundancy for cost,Positioning operators for blame,
MR,,,Which factors specifically contributed to the 'edit race' fatal outcome?,"1,2,3",Target taking eight seconds,Operator typing edit quickly,Shared flag without locks,One byte counter overflowing,
