Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What does computer science study?,2,Only how physical computer hardware is built,"Algorithms, data, and problem-solving",The mechanics of repairing laptops,How to use apps and spreadsheets,
MC,,,Which analogy best describes the relationship between computer science and computers?,4,Biology to microscopes,Chemistry to beakers,Physics to particles,Astronomy to telescopes,
MC,,,What is Google Colab?,1,A browser-based Python environment,A physical piece of server hardware,A social media platform for coders,A language older than Python,
MC,,,What does a built-in function like <code>print()</code> do?,4,It crashes the computer if misused,It invents a new operation,It creates physical hardware,It performs a predefined action,
MC,,,Which built-in AI assistant does Colab provide?,4,Cortana,Siri,Alexa,Gemini,
MC,,,Why did nineteenth-century science need algorithms?,3,To browse the early internet,To build early video games,To compute long navigation tables without errors,To design automated steam engines,
MC,,,What was Charles Babbage's Analytical Engine intended to be?,2,The first electric supercomputer,A general-purpose mechanical computer,A calculator using vacuum tubes,A silicon-based logic board,
MC,,,What is the equivalent of the CPU in the Analytical Engine?,4,The Store,The Variable Cards,The Output Printer,The Mill,
MC,,,What is the equivalent of memory in the Analytical Engine?,1,The Store,The Stack,The CPU,The Mill,
MC,,,How do factorial values grow as the input sequence increases?,1,Explosively and non-linearly,They decrease over time,At a steady linear pace,They remain exactly the same,
MC,,,What symbol is used to pass data to a function?,3,Brackets <code>[]</code>,"Quotes <code>""""</code>",Parentheses <code>()</code>,Braces <code>{}</code>,
MC,,,"In <code>def compute_factorials(n):</code>, what does <code>def</code> do?",1,It defines a new function,It defers execution until later,It defaults to zero,It deletes the variable <code>n</code>,
MC,,,What kind of loop requires a test condition or diamond shape in a flowchart?,3,A variable declaration,A sequential assignment,A repetition structure,A hardware print step,
MC,,,What does the line-for-line translation of the diamond describe?,1,A loop test,A variable type,A syntax error,A data structure,
MC,,,What is the term for <code>n</code> in <code>compute_factorials(n)</code>?,4,An output printer,An accumulator,A loop test variable,An input parameter,
MC,,,What is the outcome of passing a string to <code>print()</code>?,2,The system shuts down,The string content is displayed,The string is saved to disk,The text is translated to French,
MC,,,What shape typically represents a repetition back-arrow in a flowchart?,4,An oval,A square,A diamond,A loop,
MC,,,Which variable compounding each pass characterizes the factorial algorithm?,2,An operation card,An accumulator,A static constant,A Boolean test,
MC,,,How do you run code in Colab without installing Python?,3,It downloads a local virtual machine,It uses Javascript only,It runs remotely in a browser,It writes a batch file,
MC,,,What mathematical operation does a factorial algorithm perform repeatedly?,4,Subtraction,Square roots,Addition,Multiplication,
MC,,,What represents the execution of instructions in Colab?,4,Pages,Sheets,Slides,Cells,
MC,,,How are instructions organized in a function?,2,As a single-use script only,"In a named, reusable block",As immutable hardware logic,In random execution order,
MC,,,What does 3! equal?,2,12,6,9,3,
MC,,,What happens to the running product in a factorial loop?,2,It creates an infinite loop,It is multiplied each pass,It is cleared back to zero,It is printed immediately,
MC,,,Why is <code>print</code> considered built-in?,3,It was written by Babbage,It is only available online,It comes pre-installed with Python,It requires external downloads,
MR,,,Which two statements accurately describe Colab?,"1,4",It provides access to AI pair-programmers.,It only supports block-based programming languages.,It requires an expensive physical server at your desk.,It runs code remotely in your browser.,
MR,,,Which elements correspond to von Neumann architecture in Babbage's design?,"3,4",The steam engine executes Python directly.,The variable cards replace the need for math.,The Store functions as system memory.,The Mill acts as the CPU.,
MR,,,What operations are required to compute factorials?,"3,4",Sorting the numbers in reverse.,Division by zero on each pass.,Using an accumulator variable.,A loop to iterate through values.,
MR,,,"In Python, which concepts apply to functions?","1,2",They are reusable blocks of code.,They can accept input parameters like <code>n</code>.,They run automatically without being invoked.,They must always use a while loop inside.,
MR,,,What describes `compute_factorials` as implemented in the notebook?,"3,4",It is part of the standard Python library.,It computes logarithmic navigation tables.,It is defined using the `def` keyword.,It demonstrates algorithmic repetition.,
MC,,,What was 'Lady Lovelace's Objection'?,4,Only men can write code,Machines will eventually overpower humans,Steam computers cannot execute loops,Machines cannot originate anything,
MC,,,What did Turing propose to replace the question 'Can machines think?',4,The Halting Problem,The Analytical Engine,The Universality Theorem,The Imitation Game,
MC,,,Who did Lovelace translate her Notes from?,1,Luigi Menabrea,Charles Babbage,Mary Shelley,Alan Turing,
MC,,,Which mathematical sequence did Lovelace detail in Note G?,3,The factorials,The Fibonacci sequence,The Bernoulli numbers,The prime numbers,
MC,,,"To Lovelace, what constituted the 'original' work of computing?",3,Punching the jacquard cards,Building the brass engine,Designing the algorithmic rules,Executing the operations,
MC,,,What is a universal machine?,1,A machine that can simulate any other machine,A physical loop of infinite paper,A machine designed only for Bernoulli numbers,A mechanical calculator powered by steam,
MC,,,Why did Turing think machines surprise us?,1,We cannot predict the consequences of complex rules,They possess a human soul,They randomly alter their data,They learn to break our rules,
MC,,,How does a Turing test judge if a machine is 'thinking'?,3,If it translates French perfectly,If it solves equations faster than a human,If a human cannot distinguish it from a human player,If it originates new mathematics,
MC,,,What term describes a finite list of unambiguous steps?,4,A heuristic,A processor,An Engine,An algorithm,
MR,,,Which details apply to Turing's universal machine concept?,"1,3",It relies on the idea that rules can be stored as data.,It requires a different physical machine for each problem.,It implies one machine can execute any computable program.,It was proposed after World War II.,
