Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,The implementation returns None as a sentinel value to safely signal that the element was not found.,,What does a linear search return in our Python implementation when the target is not present in the list?,2,False,None,-1,ValueError,
MC,"The sorted() function creates and returns a new list, leaving the original list unchanged.",,Which built-in Python function returns a brand-new ordered list without modifying the original collection?,4,arrange(),sort(),.sort(),sorted(),
MC,The .sort() method modifies the list it is called on and does not return a new list.,,Which Python list method rearranges a list in-place and returns None?,2,sorted(),.sort(),.inplace_sort(),.arrange(),
MC,"In the worst case (when the item is at the end or missing), linear search must inspect every element.",,What is the worst-case number of comparisons for a linear search on a list of size n?,2,n²,exactly n,n / 2,log n,
MC,"Binary search halves the search space at each step, yielding logarithmic growth.",,What is the worst-case complexity shape for a binary search on a sorted list of size n?,2,O(n log n),O(log n),O(n),O(n²),
MC,Binary search relies on order to determine whether to discard the lower or upper half of the remaining elements.,,Why must a list be sorted before performing a binary search?,3,to prevent syntax error crashes,to allow duplicate element values,to rule out half the items,to speed up index operations,
MC,"Python allows multiple assignments in a single line, like x, y = y, x, which evaluates the right-hand side first and then assigns.",,What is the correct Python syntax to swap two variables without using a third temporary variable?,4,"swap(x, y)",x = y,"x, y = swap(y, x)","x, y = y, x",
MC,"O(1) represents constant time, meaning the number of steps is independent of the input size.",,Which Big-O complexity represents a constant running time that does not grow with the input size?,2,O(n),O(1),O(n²),O(log n),
MC,"O(n²) represents quadratic growth, which is characteristic of selection sort.",,"Which Big-O complexity represents quadratic growth, where work grows with the square of the input size?",4,O(n),O(n log n),O(log n),O(n²),
MC,Selection sort works by selecting the minimum value in the unsorted section and placing it at the front.,,Which sorting algorithm repeatedly finds the smallest remaining item and swaps it into its correct position?,2,bubble sort,selection sort,binary search,merge sort,
MC,"Merge sort divides the unsorted list into single-element lists, and recursively merges them into sorted lists.",,What divide-and-conquer strategy does merge sort use to sort a list?,2,partition around a pivot value,split and merge recursively,find smallest item repeatedly,swap adjacent out-of-order pairs,
MC,The key argument accepts a function that computes a sort key for each item.,,Which argument is used in Python's sorted() to specify a custom sorting criteria?,4,index,reverse,by,key,
MC,A lambda function like `lambda card: card.rank` takes a card object and retrieves its rank attribute.,,What expression correctly extracts a custom attribute from a card object for sorting?,2,lambda: card.rank,lambda card: card.rank,lambda card.rank,def rank(card): return card,
MC,"In the first pass, selection sort finds the smallest element (1) and swaps it with the element at index 0 (5), resulting in `[1, 3, 8, 5, 9]`.",,"In selection sort, if you run it on the list `[5, 3, 8, 1, 9]`, what is the list after the first pass?",1,"[1, 3, 8, 5, 9]","[5, 3, 1, 8, 9]","[3, 5, 8, 1, 9]","[1, 3, 5, 8, 9]",
MC,"Selection sort scans the remaining unsorted list for each index, resulting in O(n²) operations.",,What is the worst-case time complexity of selection sort?,3,O(n log n),O(n),O(n²),O(log n),
