Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,"In machine learning, rules are learned directly from patterns in data examples rather than hand-coded.",,"In contrast to ordinary programming where developers write explicit logic rules, how does a machine learning system establish its decision rules?",3,running conditional checks on loops,compiling source code into bytecode,learning patterns from data examples,querying database servers directly,
MC,Supervised learning uses labeled training examples where correct answers are already known.,,What type of machine learning task is characterized by training a model on data examples that have correct answers attached?,2,heuristic programming,supervised learning,unsupervised learning,database indexing,
MC,Unsupervised learning tries to find clusters or structures in data without predefined labels.,,What is the primary objective when running an unsupervised learning algorithm on a dataset?,2,verifying database login credentials,discovering structures in data,predicting known categorical labels,hashing text inputs into signatures,
MC,Weights define how much each input feature contributes to the perceptron's final sum and decision.,,"In a perceptron, what does the weight assigned to an input feature represent?",3,physical memory storage size,number of training loops,feature importance in the decision,processor execution speed limit,
MC,The bias sets the threshold or baseline level that the weighted sum must cross for the neuron to activate.,,"In a single artificial neuron perceptron, what is the role of the bias?",2,randomizing input variables values,setting the activation threshold level,storing prediction error rates,limiting max learning rate,
MC,It checks if the sum is greater than zero using a threshold step function.,,What mathematical step does a perceptron perform after calculating the weighted sum of its inputs and bias?,2,reverses weights using keys,runs a threshold step function,hashes outputs using sha256,normalizes inputs using division,
MC,Weights are only nudged or adjusted when the current weights lead to an incorrect guess (error).,,"During the training of a perceptron, when are the weights and bias updated?",3,at every single input epoch,only after running all loops,only when predictions are incorrect,whenever inputs match the bias,
MC,The error (target minus guess) is multiplied by learning rate and input to shift weights.,,"In the perceptron learning algorithm, which value is multiplied by the input and the learning rate to determine the weight update?",2,the current bias threshold,the calculated prediction error,the random connection salt,the total feature count,
MC,Multiple layers allow neural networks to fit complex non-linear boundaries rather than simple straight lines.,,What capability is added when single perceptrons are wired together in multiple layered neural networks?,3,decreasing training data size,eliminating all training labels,learning complex non-linear boundaries,running loops without memory,
MC,"Earlier layers spot edges, while deeper hidden layers combine those edges into complex combined shapes and objects.",,"In a multi-layer neural network trained on images, what do the deeper hidden layers typically learn to detect?",3,raw image pixel colors,database connection paths,complex combined shapes,simple isolated edges,
MC,"LLMs operate by next-token prediction, repeatedly choosing the most likely token to follow the current sequence.",,What is the single primary mathematical operation performed by a Large Language Model (LLM) during inference?,2,retrieving verified historical database facts,predicting the next token,compiling syntax code logic commands,verifying secure connection server hashes,
MC,Tokenization breaks raw text down into numbers mapping to a vocabulary of word parts (tokens).,,What is the process of tokenization in natural language processing?,3,compiling text scripts to bytecode,hashing text inputs for security,splitting text into numeric indicators,encrypting text packets across ports,
MC,"LLMs read text chopped into multi-letter tokens, not individual letters, so they don't see the character sequence directly.",,Why might a Large Language Model (LLM) fail at counting letters in a word like strawberry?,2,it encrypts text during input validation,it processes text tokens not letters,it hashes the entire input string,it lacks character encoding library updates,
MC,LLMs learn frequency connections by training weights over millions of text training examples.,,How does a Large Language Model (LLM) learn which word tokens are likely to follow a given set of tokens?,2,searching precompiled dictionary tables,nudging weights from training examples,hand-coding syntax rules sheets,running static database queries,
MC,"LLMs generate sentences based on probabilistic patterns of language, not by checking fact databases.",,Why do Large Language Models (LLMs) sometimes confidently state false information?,1,they generate text by probability patterns,their validation checks delete key files,their database connections go offline,their local security certificates expire,
MC,"Models learn patterns directly from their training data; if the past data reflects bias, the model inherits it.",,What is the primary source of algorithmic bias in machine learning models?,1,historical inequalities in training data,syntax coding errors in loops,running parameterized database queries safely,hashing password credentials using salts,
MC,Other features act as proxies carrying the correlated information through a side door.,,Why does deleting a sensitive attribute like gender fail to prevent a model from discriminating based on that attribute?,1,other features correlate as proxies,models automatically retrieve deleted columns,hashing processes copy deleted variables,validation requirements require complete attributes,
MC,"Large-scale dataset assembly frequently scoops up personal data without consent, and it's hard to extract once trained.",,Why is privacy a significant ethical challenge when collecting data for large AI models?,4,private attributes slow training loops down,hashing processes leak plaintext user files,databases cannot search private user records,personal information is harvested without consent,
