Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,A process is one running instance of a program managed by the operating system.,,What is a process in an operating system?,1,one running program instance,a permanent storage file,a network IP routing address,a physical memory storage chip,
MC,"The ps aux command lists active computer processes, including CPU and memory usage.",,What is the primary purpose of the Linux command <code>ps aux</code>?,4,reclaims local hardware memory,deletes unused text files,displays available network connections,lists active computer processes,
MC,A PID is a unique whole-number ID assigned by the OS to identify each running process.,,What is a Process Identifier (PID) in an operating system?,2,standard website route name,unique process identification number,physical memory hardware slot,total cpu clock speed,
MC,The file system organizes storage devices into named files and folders.,,What is the primary role of an operating system file system?,1,organizes storage into folders,grants temporary execution memory,schedules cpu program tasks,transmits network data packets,
MC,The ls / command lists the contents of the root file system directory.,,What does the Linux command <code>ls /</code> accomplish?,2,measures current memory availability,lists root directory contents,displays active process tables,tests local internet connections,
MC,"The free -h command displays RAM usage (total, used, available) in human-readable units.",,What does the Linux command <code>free -h</code> display?,3,unlocked local storage drives,running background python processes,human readable memory ledger,active network router connections,
MC,"Programs never control hardware directly; they request operations via the OS, which enforces limits.",,Which of the following describes the position of the operating system between programs and hardware?,4,displays graphical browser pages,routes network data packets,compiles programs to binaries,intercepts raw hardware commands,
MC,"The OS isolates processes from one another, preventing a single program crash from breaking the hardware.",,Why does a single crashing program process not take down the entire computer hardware?,4,restored by local files,backed up by networks,recompiled by CPU automatically,isolated by operating system,
MC,"DNS acts as the internet's phone book, translating human-readable site names into IP addresses.",,What is the primary function of the Domain Name System (DNS)?,3,numbers and reassembles data packets,secures browser requests from hackers,translates names to IP addresses,serves JSON APIs to programs,
MC,An IP address is the numeric address that uniquely identifies a machine on the network.,,What is the purpose of an IP address on a computer network?,3,names running process instances,specifies HTML file locations,identifies machine on network,allocates random RAM segments,
MC,DNS serves different addresses to direct client requests to different machines in a queue/load pool.,,Why might a large website return different IP addresses for the same domain name lookup on different days?,1,directs queries to different machines,refreshes active operating system processes,recreates local routing table rules,encrypts network packet destination headers,
MC,"A packet is a small, addressed chunk of data sent across a packet-switched network.",,What are packets in the context of internet communication?,2,nested JSON directory objects,small addressed data chunks,compiled CPU instruction sets,temporary server connection ports,
MC,"TCP numbers, confirms, re-sends, and reassembles packets so they arrive complete and in order.",,What is the role of Transmission Control Protocol (TCP) in network communication?,2,translates domains to addresses,numbers and reassembles packets,encrypts user password strings,hosts web application routes,
MC,"The Application layer governs what network messages mean (e.g. HTTP, DNS).",,Which responsibility belongs to the Application layer of the TCP/IP model?,3,transmitting signals over wires,assuring complete packet arrival,defining message meaning,routing packets across routers,
MC,"The Transport layer handles complete, in-order packet delivery (typically TCP).",,Which responsibility belongs to the Transport layer of the TCP/IP model?,1,complete in order delivery,storing static template files,translating human readable names,assigning hardware MAC addresses,
MC,"The Internet layer handles addressing and routing (IP, packet hops).",,Which responsibility belongs to the Internet layer of the TCP/IP model?,1,addressing and packet routing,verifying file system permission,checking socket memory addresses,formatting JSON server responses,
MC,"The Link layer manages the physical wire connection (Wi-Fi, fiber, ethernet).",,Which responsibility belongs to the Link layer of the TCP/IP model?,2,interpreting HTTP status codes,handling physical wire transmission,naming server route endpoints,ensuring correct packet order,
MC,Status code 404 means the server responded but the requested page was not found.,,What does HTTP status code 404 signify?,4,server completed request successfully,process aborted by operating system,database connection failed internally,requested page not found,
MC,Status code 200 means the server completed the client's request successfully.,,What does HTTP status code 200 signify?,4,server internal error,route requires login,page not found,request succeeded,
MC,An HTTP header acts like an envelope carrying metadata (like Content-Type or date).,,What is the purpose of an HTTP header in a web request or response?,2,verifies local operating systems,carries message envelope metadata,executes remote server code,stores primary database keys,
MC,"The Content-Type header tells the browser how to interpret the body payload (e.g., application/json).",,Which HTTP header indicates the format of the returning response body so the client knows how to display it?,3,<code>User-Agent</code>,<code>Date</code>,<code>Content-Type</code>,<code>Server</code>,
MC,A route pairs a specific URL path with the function that should compute the answer.,,"In a Flask web server, what is the role of a route?",3,creates empty database files,numbers incoming socket packets,maps address to function,allocates random computer memory,
MC,"Kline typed L-O-G, but the remote system crashed on the third letter, making 'LO' the first message.",,What was the text of the first message successfully sent on the ARPANET in 1969?,1,<code>LO</code>,<code>PING</code>,<code>LOG</code>,<code>HELLO</code>,
MC,Baran was studying how to build a network that could survive a nuclear strike.,,What was Paul Baran's primary requirement when designing the RAND packet switching network?,2,minimize computer hardware cost,survive nuclear attacks successfully,support high database query speeds,integrate commercial phone routers,
MC,"By putting intelligence at the edges, Vint Cerf and Bob Kahn made a network that did not require anyone's permission to join.",,What political idea was enabled by the end to end principle of the internet protocols?,4,voting on network configurations,establishing cloud rental monopolies,securing data from governments,joining without developer permission,
MC,Tim Berners-Lee released the Web and persuaded CERN to give it away patent-free forever.,,Who released the World Wide Web patent free to the public in 1991?,4,Paul Baran,Charley Kline,Vint Cerf,Tim Berners Lee,
MC,Amazon Web Services (AWS) launched utility computing in 2006 by renting out storage and servers by the hour.,,Which major service was launched by Amazon in 2006 that pioneered modern cloud computing?,2,Adler Streaming Network,Amazon Web Services,Google App Engine,CERN Web Server,
MC,"Amazon, Microsoft, and Google controlled roughly two-thirds of the cloud computing market by the mid-2020s.",,Approximately how much of the world's cloud computing was run by the three giant providers in the mid 2020s?,3,exactly one quarter,roughly half,roughly two thirds,around ten percent,
MC,"A single customer of Fastly changed an ordinary configuration setting, which triggered a hidden bug.",,What triggered the major Fastly outage in June 2021 that took down large parts of the web?,3,physical data center fire,coordinated hacker group attack,single customer setting change,corrupted operating system updates,
