Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Which Python keyword begins establishing a new custom blueprint structure?,1,class,object,init,def,
MC,,,Which special constructor method initializes a newly built object instance?,1,__init__,__call__,__new__,__main__,
MC,,,What first argument must represent the current operating object in a method?,3,this,cls,self,object,
MC,,,Which built-in reference calls parent class setups and methods directly?,1,super,base,parent,inherit,
MC,,,Which keyword creates a short alternative label when importing packages?,2,from,as,import,in,
MC,,,How is the square root utility called after loading its standard numeric library?,2,sqrt,math.sqrt,math(sqrt),import.sqrt,
MC,,,Which keyword retrieves particular functions out of another file?,3,import,require,from,with,
MC,,,Which built-in tool lists all methods and data holding fields in an object?,3,list,vars,dir,help,
MC,,,What placeholder is returned if a method lacks a direct return step?,4,"""""",0,False,None,
MC,,,Which exact syntax runs parent constructors inside child setup methods?,4,super(self),super,super(parent),super(),
MC,,,Which capital letter naming format fits Python class names best?,1,CapWords,UPPERCASE,snake_case,lowercase,
MC,,,What is a separate file holding functions for reuse called?,1,A Python module,A Python script,An import folder,A virtual program,
MC,,,Where does Python search for names if you forget self prefixes?,2,Defaults to first instance attribute,Searches local and global namespaces,Creates a new private variable,Queries parent superclass directory automatically,
MC,,,How do different classes handle having the same method name?,4,The compiler rejects both class templates,Execution stalls because of naming collisions,Python overrides the first defined template,Each responds to its own method,
MC,,,Where should instance variables be set up so objects do not share data?,2,Inside the primary class body,Inside the local initializer method,Inside the parent directory structure,Inside an external global module,
MC,,,What error happens when you put a list directly in class bodies?,3,Each instance creates a local copy,Python raises a syntax compilation error,Every instance shares the same list,The database prevents any list updates,
MC,,,How does an overridden child method run its parent's version?,1,By calling the super method,By calling the helper method,By calling the import method,By calling the local method,
MC,,,How can you import only one function instead of a whole file?,1,Import only the required function,Compile the entire file together,Convert the functions to text,Duplicate the source code manually,
MC,,,What standard text prints out if you try printing a raw object?,3,A blank line containing spaces,A syntax error halting execution,A default string representing details,A detailed list of properties,
MC,,,What does encapsulation hide within an object to keep data safe?,4,Standard library import functions and methods,Local terminal execution pathways and parameters,Shared public global definitions and modules,Private internal state database and variables,
MC,,,What does a subclass automatically gain from its parent class?,3,Only the special init methods,Automatic copy of import functions,Inherits methods from class Guard,Exclusive access to global variables,
MC,,,Why is organizing code into classes highly useful for software teams?,2,Allowing duplicate names in data,Isolating changes to separate modules,Increasing the speed of calculations,Forcing developers to write tests,
MC,,,"In the patrol scenario, what role does Lancelot fill?",4,A subclass of class Guard,A function inside the class,A parameter of class Guard,An instance of class Guard,
MR,,,What are correct ways to import modules and tools in Python?,"2,3,4",Importing class methods without classes,Importing the entire module structure,Importing a module with an alias,Importing specific functions using from,
MR,,,Which events cause an AttributeError on an active object?,"3,4",Invoking inherited methods on setup,Attempting to print instance properties,Accessing a missing instance variable,Calling a method not defined,
MR,,,Which choices describe class constructor setups in Python?,"2,3",Can assign static variables alone,Accepts self as first parameter,Runs immediately when instantiating client,Returns an integer indicator value,
MR,,,What bugs happen if you leave out self prefixes inside methods?,"1,4",Local variables are discarded immediately,Python raises automatic compilation errors,Global variables are overwritten secretly,Assignments fail to write back,
MR,,,What gets passed down to a child class from its parent?,"2,3",The class name declaration strings,General instance methods defined successfully,The default structural initialization steps,Locally defined import module references,
MR,,,Which choices demonstrate composition instead of general inheritance?,"3,4",Accessing base constructors via super,Defining a specialized child class,An object holding other objects,Delegating work to inner instances,
MR,,,What guidelines help developers design custom class shapes?,"2,4",Convert any single integer to objects,Identify primary verbs as methods,Force inheritance for simple functions,Identify primary nouns as classes,
MC,,,Which living thing did Alan Kay use to explain object boundaries?,2,Neural brain networks firing impulses,Living cellular organisms communicating messages,Animal pack behavior finding food,Plant root structures sharing resources,
MC,,,Which software element was pioneered by Simula but criticized by Kay?,2,Private internal object data,Deep class inheritance systems,Asynchronous message passing networks,Dynamic memory management schemes,
MC,,,What is the core rule of the Liskov Substitution Principle?,3,Classes support multiple inheritance structures safely,Parent types override child types safely,Child types replace parent types safely,Objects share standard computer assets safely,
MC,,,Why does defining a square as a child of rectangle cause bugs?,3,Inheritance requires completely identical names,Rectangle methods fail calculating square areas,Setting width alters height unexpectedly,Square objects demand higher memory,
MC,,,Which design rule was made famous in the 1994 book Design Patterns?,3,Merge data representation and flowcharts,Eliminate object boundaries for speed,Favor composition over strict inheritance,Utilize deep hierarchies for simplicity,
MC,,,What is the main idea behind using object composition?,2,Refusing message requests from clients,Building relationships using has-a connections,Hiding all standard library modules,Extending parental behaviors using inheritance,
MC,,,Which issue does the gorilla and banana joke explain?,1,Objects drag their whole inheritance tree,Computers consume too much electrical energy,Compilers produce slow binary programs,Large databases cause syntax bugs,
MR,,,Which parts of object-oriented coding are most loved and used today?,"1,2",Hiding implementation details via encapsulation,Providing uniform interfaces via polymorphism,Constructing massive multi level inheritance trees,Coupling mutable state across distinct files,
MR,,,How do new languages like Go and Rust differ from Java?,"1,4",Enforce clean modular project encapsulation,Require deep parent shape templates,Reject message passing interfaces natively,Omit class inheritance structures cleanly,
MR,,,What primary complaint do functional programmers have about objects?,"1,3",Glueing changeable state to behavior,Simplifying debugging using pure functions,Scattering mutable data across objects,Eliminating duplicate class names safely,
