Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Who built the first working compiler?,3,Carver Mead,Charles Babbage,Grace Hopper,Alan Turing,
MC,,,What was the primary function of Hopper's A-0 compiler?,3,It checked Python code for syntax errors,It calculated ballistics tables manually,It translated symbolic language into machine instructions,It automatically physically punched paper tape,
MC,,,What does 'abstraction' mean in the context of computer science history?,2,Refusing to use visual flowcharts,Hiding complex machine operations behind simpler language layers,Writing code exclusively in binary logic,Translating code back into physical hardware components,
MC,,,What was COBOL designed to do?,1,Serve as a standard language for business data processing,Operate the Mark I mechanical computer,Replace Python entirely,Train large language models on public source code,
MC,,,Which issue did the Y2K bug highlight about abstraction?,3,Mechanical moths still existed in server rooms,LLMs were hallucinating fake library packages,Programmers had forgotten the lowest code layers that ran critical systems,All modern compilers had a hidden hardware flaw,
MC,,,"According to Hopper, why was building a compiler necessary?",4,To prevent hardware bugs like moths from spreading,To make computers run faster physically,So women could exclusively dominate the programming field,So ordinary technical workers could program without learning machine code,
MC,,,What did Edsger Dijkstra argue about hiding the machine from the programmer?,2,It permanently solves the problem of security flaws,It makes some kinds of errors invisible and impossible to diagnose,It allows programs to run infinitely fast,It is the only morally correct way to write software,
MC,,,How does a compiler fundamentally differ from a Large Language Model (LLM)?,2,A compiler cannot translate Python code,"A compiler translates deterministically, while an LLM guesses statistically",A compiler requires an internet connection to run,An LLM writes only assembly language,
MR,,,Which components are characteristic of early programming (1940s)?,"1,3",Code was heavily hand-translated into physical instructions.,Compilers automatically fixed logical errors.,Operations were closely tied to physical machine architecture.,Visual drag-and-drop interfaces were standard.,
MR,,,What are the core arguments of the Labor Reply regarding abstraction?,"2,3",New compilers always guarantee higher wages for all workers.,Productivity tools change who does the work and on what terms.,Technological shifts altered the gender demographics of the field.,Abstraction creates perfectly equitable workplaces immediately.,
MC,,,What is an algorithm?,1,A precise sequence of executable steps,A random guess at a mathematical problem,A hardware component connecting memory and CPU,A specific programming language like Python,
MC,,,What should you do before translating an algorithm into code?,3,Memorize all Python syntax rules,Delete all floats from memory,Pin it down in plain words and a picture,Create a new variable named crowns,
MC,,,Which definition accurately describes a variable?,4,A mathematical constant that never changes,A built-in Python math function,A flowchart diamond indicating choice,A labeled box that holds one value at a time,
MC,,,What does a variable do when it receives a new assignment?,4,It copies the value to a secondary box,It mathematically adds the new value to the old,It crashes the program if the type changes,It forgets its old value entirely,
MC,,,"In programming, what is the role of an expression?",4,It permanently deletes unused variables,It only prints output to the screen,It acts as a complete executable instruction,It computes and evaluates to a value,
